,sentence,canonical_aspect,raw_aspects,aspect_categories,sentiments,tones,avg_confidence
333,Over 60% of our 2024 revenue came from products that reduce environmental impact reported in accordance with the Corporate Knights Sustainable Economy Taxonomy!,environmental impact and sustainable growth,"Environmental Impact Reduction, sustainable revenue",E-G,positive,outcome,0.95
502,We are committed to reducing our environmental impact and promoting sustainable practices throughout our operations.,environmental impact and sustainable growth,Environmental Impact Reduction,E,positive,commitment,0.95
212,HP's environmental impact assessments are made in accordance with International Organization for Standardization (ISO) 14040 and ISO 14044.,environmental impact assessments,Environmental impact assessments,E-G,neutral,outcome,0.85
136,"Begitu juga dengan perhatian terhadap pengelolaan dampak lingkungan yang tidak hanya dikedepankan pada saat proses pengerjaan proyek hunian, melainkan juga setelah proyek tersebut selesai.",environmental impact management,Environmental Impact Management,E,positive,action,0.9
159,"Dari aspek lingkungan, kami telah menjalankan beberapa inisiatif untuk mengurangi jejak lingkungan kami, salah satunya adalah melakukan peremajaan battery pada menara BTS Hotel dari jenis VRLA menjadi lithium yang memiliki daya tahan lebih panjang sehingga mengurangi limbah sampah.",environmental impact reduction through battery replacement,environmental impact reduction through battery replacement,E,positive,action,0.85
206,"Furthermore, in relation to Environmental Management, the Company is implementing various programs to reduce the environmental impacts caused by its operational activities, from integrated waste management to reducing the use of plastic drinking bottles in our operational areas.",environmental management,environmental management,E,positive,action,0.85
358,Perseroan juga mendorong semangat peduli lingkungan dalam program mitigasi dan adaptasi dampak pemanasan global.,environmental protection,Climate Change Mitigation,E,positive,action,0.8
149,"Dalam aspek lingkungan, Japfa menyusun rencana aksi yang terstruktur untuk mengurangi emisi gas rumah kaca dan berkontribusi dalam mitigasi perubahan iklim.",environmental protection,Climate Change Mitigation,E,positive,action,0.92
171,"Di bawah payung MPM Green Action, Perseroan melakukan aksi konservasi lingkungan maupun kampanye kepedulian lingkungan dengan melibatkan karyawan untuk mengantisipasi efek pemanasan global.",environmental protection,Environmental Conservation,E-S,positive,action,0.92
312,"Mitratel berkomitmen untuk terus tumbuh dan berkembang bersama lingkungan, masyarakat, dan tata kelola perusahaan dengan menciptakan hubungan yang harmonis dengan lingkungan dan masyarakat sekitar.",environmental responsibility,Environmental Responsibility,E-S-G,positive,commitment,0.9
285,Kesadaran akan pentingnya peranan Perseroan dalam menciptakan keseimbangan melalui lingkungan hidup yang lestari dan meningkatkan standar sosial baik di internal Perseroan maupun komunitas masyarakat menjadi bahan pertimbangan yang tidak terpisahkan dalam setiap strategi dan kebijakan yang dibuat oleh Perseroan.,environmental sustainability,"Environmental Sustainability, Environmental and Social Responsibility",E-S-G,positive,commitment,0.885
156,"Dalam pengembangan usahanya, Mitratel berkomitmen penuh untuk menjalin kolaborasi dan sinergi yang kokoh dengan para pemangku kepentingan dengan memposisikan diri sebagai Partner untuk membangun aspek sosial dan ekonomi, serta bersama-sama memitigasi dan mengatasi tantangan untuk pencapaian tujuan keberlanjutan, yakni kesejahteraan seluruh pemangku kepentingan serta kelestarian lingkungan.",environmental sustainability,Environmental Sustainability,E-S-G,positive,commitment,0.9
313,"Mitratel berkomitmen untuk terus tumbuh dan berkembang bersama lingkungan, masyarakat, dan tata kelola perusahaan dengan menciptakan hubungan yang harmonis dengan lingkungan dan masyarakat sekitar.",environmental sustainability,Environmental Sustainability,E-S-G,positive,commitment,0.95
288,"Komitmen PT Harum Energy Tbk untuk menjalankan usaha pertambangan dengan praktik ESG (environmental, social, and governance) terus diperkuat dari waktu ke waktu.",esg commitment,"ESG Commitment, ESG commitment",E-S-G,positive,commitment,0.95
283,"Karena itu, Perseroan telah menyusun dan menjalankan komitmen untuk secara konsisten melaksanakan pemenuhan tanggung jawab dengan menyeluruh kepada segenap pemangku kepentingan Perseroan dengan memberikan perhatian yang besar terhadap aspek Lingkungan, Sosial, dan Tata Kelola (ESG).",esg commitment,ESG Commitment,E-S-G,positive,action,0.9
428,"Therefore, the Company has developed and implemented a commitment to consistently fulfill its responsibilities comprehensively to all of the Company's stakeholders by paying great attention to Environmental, Social, and Governance (ESG) aspects.",esg commitment,ESG commitment,E-S-G,positive,action,0.9
429,"Therefore, the Company has developed and implemented a commitment to consistently fulfill its responsibilities comprehensively to all of the Company's stakeholders by paying great attention to Environmental, Social, and Governance (ESG).",esg commitment,ESG Commitment,E-S-G,positive,action,0.97
539,We have a dedicated ESG committee overseeing our sustainability efforts.,esg committee,ESG committee,E-S-G,positive,outcome,0.88
298,"Laporan ini adalah cerminan dari perjalanan FKS Multi Agro selama tahun 2023 dalam mengimplementasikan inisiasi Environment, Social, and Governance (ESG), menyoroti kemajuan, pencapaian, dan juga tantangan yang dihadapi.",esg implementation,ESG implementation,E-S-G,neutral,outcome,0.85
259,Kami berkomitmen untuk terus meningkatkan implementasi inisiatif ESG dalam setiap lini operasional dengan ESG Champions sebagai katalisator.,esg implementation commitment,ESG implementation commitment,E-S-G,positive,commitment,0.85
481,"Untuk menerapkan inisiatif ESG di FKS Multi Agro, kami memiliki tim khusus yang disebut ESG Champions, yang bertanggung jawab untuk mengintegrasikan prinsip-prinsip keberlanjutan dan menerapkan inisiatif ESG dalam kegiatan operasional dan strategi bisnis kami.",esg implementation team,ESG implementation team,E-S-G,positive,action,0.85
154,"Dalam mewujudkan pengelolaan usaha yang berpegang pada prinsip-prinsip keberlanjutan, diperlukan penerapan ESG (environmental, social and governance) sebagai sebuah prinsip dan kerangka kerja yang saling terintegrasi.",esg integration,ESG Integration,E-S-G,neutral,commitment,0.875
500,We are committed to integrating ESG considerations into our business strategy.,esg integration,ESG integration,E-S-G,positive,commitment,0.9
450,"This report provides information on our environmental, social and governance (ESG) performance.",esg performance,ESG performance,E-S-G,neutral,outcome,0.95
384,"Secara umum, strategi keberlanjutan Perusahaan berfokus pada 4 (empat) pilar ESG yaitu: Keamanan dan Ketahanan Pangan, Pengelolaan Lingkungan, Lingkungan Kerja Yang Sehat, Aman dan Nyaman, dan Pengembangan Masyarakat.",esg pillars,ESG pillars,E-S-G,neutral,outcome,0.9
289,"Komitmen PT Harum Energy Tbk untuk menjalankan usaha pertambangan dengan praktik ESG (environmental, social, and governance) terus diperkuat dari waktu ke waktu.",esg practices,ESG Practices,E-S-G,positive,commitment,0.95
348,Penilaian ESG dari MSCI(2),esg rating,ESG Rating,E-S-G,neutral,outcome,0.7
403,"Skor ESG dari Sustainalytics(1), dan menjadi perusahaan #3 dengan risiko ESG terendah dari 105 perusahaan household products di dunia yang diperingkat oleh Sustainalytics",esg rating,ESG Rating,E-S-G,positive,outcome,0.95
497,We are committed to ethical business conduct.,ethical business conduct,ethical business conduct,G,positive,commitment,0.94
544,We have established a robust ethics and compliance program.,ethics and compliance program,Ethics and Compliance Program,G,positive,outcome,0.9
252,"Integrity Honest, accountable and responsibility.",ethics and integrity,ethics and integrity,G,positive,commitment,0.9
323,"Our Executive Leadership team, led by HP's chief executive officer, retains overall responsibility for Sustainable Impact as part of our business strategy.",executive leadership responsibility,"Executive Leadership Responsibility, executive leadership responsibility",G,neutral,outcome,0.8833333333
513,"We are expanding this product coverage by adding new products to our LCA scope, with a focus on personal systems accessories, print hardware, and supplies.",expanding life cycle assessment coverage,"Expanding LCA product coverage, Expanding product coverage",E,positive,action,0.8
105,"Additionally, they have undergone external verification and assurance by CBC Global Indonesia in accordance with AAI000AS standards.",external verification,External verification,G,positive,outcome,0.9
498,We are committed to fair labor practices throughout our supply chain.,fair labor practices,Fair labor practices,S-G,positive,commitment,0.91
133,BRI welcomes feedback or suggestions to improve future editions of this report.,feedback mechanism,Feedback mechanism,G,neutral,action,0.8
478,Total Liabilities / Total Equity ▲ 38.60%,financial leverage,Financial Leverage,G,neutral,outcome,0.8
236,"In line with this commitment, in 2024, BRI successfully profitability with Return on Asset at 3.06% and Return on Equity at 19.01%, and generated net profit of IDR 60.64 trillion.",financial performance,"Financial performance, financial performance",G,positive,outcome,0.925
352,"Penyalaan Neto Perusahaan di Nomor 2015 mengalami kesempatan Sebesar 38,45%",financial performance,Financial Performance,G,neutral,outcome,0.8
143,Comprehensive Income for the Year 2015 +19.54%,financial performance,Financial Performance,G,positive,outcome,0.9
226,"In 2023, FKS Multi Agro showed healthy financial performance amidst the world economic slowdown.",financial performance,financial performance,G,positive,outcome,0.85
521,We are pleased that there were no reports of any food safety and food quality issues during the year.,food safety,food safety,S,positive,outcome,0.85
387,"Selain capaian tersebut, kami senantiasa menjunjung tinggi keamanan pangan dan pelacakan produk makanan sebagai perhatian utama kami, dan melakukannya dengan Tata Kelola Perusahaan yang Baik.",food safety & corporate governance,Food Safety & Corporate Governance,S-G,positive,action,0.93
262,"Kami dengan bangga menyatakan bahwa sepanjang tahun, tidak ada laporan mengenai masalah keamanan dan kualitas pangan.",food safety and quality,food safety and quality,S,positive,outcome,0.95
216,Hal ini merupakan bukti upaya kami dalam menjaga kepercayaan konsumen dengan memastikan bahwa kami menerapkan sistem manajemen yang ketat untuk memenuhi standar keamanan dan kualitas pangan.,food safety management,food safety management,S-G,positive,action,0.9
260,"Kami berkomitmen untuk tetap menjadi bagian dari kehidupan sehari-hari masyarakat Indonesia dengan berpegang teguh pada misi Japfa untuk ""Menjadi penyedia terkemuka dan terpercaya di bidang produk pangan berprotein terjangkau di Indonesia berlandaskan kerja sama dan pengalaman teruji, dalam upaya memberikan manfaat bagi seluruh pihak terkait.""",food security,"Food Security, affordable food provision",S,positive,commitment,0.95
381,"Sebagai perusahaan penyedia protein hewani, Japfa secara aktif berkontribusi dalam mengatasi masalah kerawanan pangan di Indonesia.",food security,Food Security,S,positive,action,0.925
203,"Feeding the Present, Securing Food for Tomorrow",food security,Food Security,S,positive,commitment,0.9
214,"Hal ini ditandai dengan kurangnya akses terhadap pangan yang aman, terjangkau, dan sesuai dengan konteks budaya lokal.",food security,Food Security,S,negative,outcome,0.85
120,"As we look ahead, we will continue to build on this momentum, committed to a future that delivers opportunity, purpose, and resilience for everyone.",future commitment,future commitment,E-S-G,positive,commitment,0.925
209,HP is redefining the future of work through technology—creating experiences that drive growth and more fulfilling work for people globally.,future of work,"Future of Work, technology-driven future of work",S-G,positive,outcome,0.9033333333
325,"Our bold ambition is to lead the Future of Work, delivering growth and fulfillment for business and people everywhere.",future of work,"Future of Work, future of work leadership",S-G,positive,commitment,0.9066666667
527,We believe the future of work should drive growth for companies and fulfillment for employees.,future of work,future of work,S,positive,commitment,0.89
445,This document contains only page numbers and no actual text for ESG analysis.,general disclosure,General Disclosure,G,neutral,outcome,1
365,Perusahaan melakukan ekspansi bisnisnya ke singapur dan malaysia,geographic expansion,Geographic Expansion,G,positive,action,0.9
115,"As a global company operating in over 170 countries, we bring these values to life wherever we do business.",global operations,global operations,G,positive,outcome,0.825
108,Advance global sustainability and digital workforce development through partnership &amp; advocacy,global sustainability,Global Sustainability,E-S-G,positive,action,0.9
360,"Perseroan menyadari ancaman yang ditimbulkan oleh isu terkait alam dan lingkungan, di antaranya efek pemanasan global merupakan hal yang tidak boleh diremehkan karena dampak yang dihasilkan sangat merugikan.",global warming,"Global Warming, global warming awareness",E,negative,outcome,0.9
329,Our greenhouse gas emissions have decreased by 10%.,greenhouse gas emissions,greenhouse gas emissions,E,positive,outcome,0.85
104,"Additionally, the report incorporates historical data from the previous three years, from January 1, 2022, to December 31, 2024, to highlight changes and trends in sustainability performance.",historical data inclusion,Historical data inclusion,G,neutral,outcome,0.8
186,Economic Review - Human Capital Award 2015 - PT Erajaya Swasembada Tbk - 2nd in Recruitment Strategy & Human Resources Planning,human capital,Human Capital,S-G,positive,outcome,0.9
173,"Di tahun 2015, PT Erajaya Swasembada Tbk - 2nd in Recruitment Strategy &amp; Human Resources Planning",human capital management,Human Capital Management,S-G,positive,outcome,0.8
254,It is a powerful reminder that behind every data point is a human impact—and that's what motivates us to keep going.,human impact,"human impact, human-centered impact",S,positive,outcome,0.925
559,"Yet the real impact goes beyond numbers. These figures represent students discovering new possibilities, job seekers gaining critical digital and AI skills, and families connecting to opportunity.",human impact of digital programs,human impact of digital programs,S,positive,outcome,0.95
174,"Di tahun 2015, PT Erajaya Swasembada Tbk - 2nd in Recruitment Strategy &amp; Human Resources Planning",human resources,human resources,S-G,positive,outcome,0.8
440,This aligns with the principles of human rights as outlined by the United Nations Global Compact (UNGC).,human rights,"human rights, human rights alignment",S-G,neutral,outcome,0.875
542,We have a zero-tolerance policy for human rights violations.,human rights,human rights,S-G,positive,commitment,0.88
363,"Perseroan telah melakukan due diligence terhadap ruang lingkup operasionalnya dan dampak yang ditimbulkan, baik itu dampak positif maupun dampak negatif, dengan tujuan untuk merencanakan strategi keberlanjutan dan implementasinya, termasuk tetapi tidak terbatas upaya-upaya mitigasi untuk mengurangi dampak negatif dan lebih memfokuskan pada kegiatan yang berdampak positif sebagai wujud komitmen Perseroan bagi seluruh pemangku kepentingan sesuai dengan kapasitas yang dimilikinya.",impact assessment and mitigation,"Environmental and Social Impact Assessment, impact assessment and mitigation",E-S-G,positive,action,0.85
364,"Perseroan telah melakukan due diligence terhadap ruang lingkup operasionalnya dan dampak yang ditimbulkan, baik itu dampak positif maupun dampak negatif, dengan tujuan untuk merencanakan strategi keberlanjutan dan implementasinya, termasuk tetapi tidak terbatas upaya-upaya mitigasi untuk mengurangi dampak negatif dan lebih memfokuskan pada kegiatan yang berdampak positif.",impact assessment and mitigation,Impact Assessment and Mitigation,E-S-G,positive,action,0.93
110,"All impact estimates involve some level of reasonable assumptions and uncertainty, resulting largely from industry-wide data limitations and data quality.",impact estimation and uncertainty,"Impact estimates, Impact estimates uncertainty",G,neutral,outcome,0.725
401,"Simultaneously, we are working to improve the overall quality, traceability, and consistency of reported data.",improving data quality and consistency,Improving data quality and consistency,G,positive,action,0.8
166,"Dengan ekosistem bisnis inklusif, CPIN memastikan manfaat pertumbuhan dirasakan secara merata, menjadikan kemitraan sebagai fondasi keberlanjutan jangka panjang.",inclusive business,"Inclusive Business, Inclusive Business Model, inclusive business practices",E-S,positive,outcome,0.9
267,"Kami mengundang Anda untuk bergabung dalam perjalanan ini, berbagi masukan, dan bekerja bersama untuk menciptakan masa depan yang lebih berkelanjutan dan inklusif bagi siapapun.",inclusive future,inclusive future,E-S,positive,commitment,0.9
249,Incorporated more detailed and reliable data sources into the Life Cycle Inventory (LCI) for HP's peripheral businesses.,incorporating reliable data sources,Incorporating reliable data sources,E-G,positive,action,0.8
184,Dynamic & Innovative Quickly adapt and seek for creative solutions.,innovation,innovation,G,positive,commitment,0.8
122,"Aside from that, the Company also encourages brilliant innovation to create markets with optimal performance in PIK 2 and sustainable profitability while prioritizing consumers' trust.",innovation and customer trust,innovation and customer trust,S-G,positive,action,0.8
388,"Selain itu, Perseroan juga terus mendorong inovasi cemerlang untuk menciptakan pasar yang optimal di PIK2 dan profitabilitas yang berkelanjutan dengan tetap mengedepankan kepercayaan konsumen.",innovation and profitability,Innovation and Profitability,S-G,positive,action,0.825
507,We are dedicated to fostering a culture of innovation.,innovation culture,Innovation Culture,G,positive,commitment,0.92
483,"Untuk menjaga keberlangsungan usaha yang sehat, kami senantiasa mengupayakan pengelolaan kinerja ekonomi yang diintegrasikan dengan pengelolaan risiko sosial dan lingkungan hidup di sekitar wilayah operasional.",integrated risk management,integrated risk management,E-S-G,positive,action,0.82
111,"All intellectual property Rights related to this Report, including but not limited to the content, design, and format, are the sole property of PT Gihon Telekomunikasi Indonesia Tbk.",intellectual property,Intellectual Property,G,neutral,outcome,0.9
112,"All intellectual property Rights related to this Report, including but not limited to the content, design, and format, are the sole property of PT Gihon Telekomunikasi Indonesia Tbk.",intellectual property rights,Intellectual Property Rights,G,neutral,outcome,0.95
331,Our suppliers are encouraged to follow ethical labor practices.,labor standards in supply chain,labor standards in supply chain,S-G,positive,commitment,0.7
383,"Sebagai tahap awal dari perwujudan langkah strategis tersebut, Perseroan berhasil mengakuisisi lahan seluas +/- 762 hektare (ha) yang terletak strategis di Pantai Indah Kapuk (PIK) 2 dan melakukan prepjenjualan di tahun 2023.",land acquisition,Land Acquisition,G,positive,outcome,0.875
241,"In the initial stage of realizing this strategic step, the Company acquired +/- 762 hectares (ha) of land strategically located in Pantai Indah Kapuk (PIK) 2 and carried out pre-sales in 2023.",land acquisition,land acquisition,G,positive,outcome,0.85
227,"In 2023, we also carried out additional capital by Rights Issue II which was aimed at increasing land reserves by +/- 850 hectares to ensure business sustainability in the future.",land reserve expansion,Land Reserve Expansion,G,positive,action,0.8
228,"In 2023, we also carried out additional capital by Rights Issue II which was aimed at increasing land reserves by +/- 850 hectares to ensure business sustainability in the future.",land reserves and sustainability,Land Reserves and Sustainability,G,positive,action,0.9
121,"Asia Pacific Entrepreneurship Award 2015 - Budiarto Halim, Outstanding Category",leadership,Leadership,G,positive,outcome,0.95
426,Theodorus Ardi Hartoko Direktur Utama Chief Executive Officer,leadership commitment,Leadership Commitment,G,neutral,outcome,0.7
114,Any disputes arising from or related to the use of this Report shall be subject to the exclusive jurisdiction of the Indonesian courts.,legal compliance,Legal Compliance,G,neutral,outcome,0.85
438,This Report is governed by the laws of the Republic of Indonesia.,legal compliance,Legal Compliance,G,neutral,outcome,0.9
210,"HP uses life cycle assessments (LCAs) and product carbon footprinting (PCF) to quantify the environmental impacts of our products, analyze possible alternatives, and target product performance improvements that deliver value to our customers and to our businesses.",life cycle assessment and product carbon footprinting,"Life cycle assessments (LCAs) and product carbon footprinting (PCF), Life cycle assessments and product carbon footprinting",E-G,positive,action,0.9
146,Current Assets / Current Liabilities ▼ -15.73%,liquidity,Liquidity,G,negative,outcome,0.8
281,"Kami yakin bahwa sinergi usaha tidak hanya menciptakan efisiensi operasional, tetapi juga menjadi penggerak yang baik untuk mendukung tujuan Perusahaan dalam mencapai keberlanjutan jangka panjang.",long-term sustainability,long-term sustainability,E-S-G,positive,commitment,0.9
202,"FKS Multi Agro telah merespons dengan serangkaian komitmen, strategi serta penentuan tujuan keberlanjutan jangka panjang yang mencakup berbagai aspek.",long-term sustainability goals,long-term sustainability goals,E-S-G,positive,commitment,0.9
341,Penerapan prinsip keberlanjutan merupakan salah satu wujud komitmen kami dalam pengelolaan emisi menuju ekonomi rendah karbon.,low carbon economy,Low Carbon Economy,E,positive,commitment,0.9
342,Penerapan prinsip keberlanjutan merupakan salah satu wujud komitmen kami dalam pengelolaan emisi menuju ekonomi rendah karbon.,low carbon economy transition,low carbon economy transition,E,positive,commitment,0.9
191,Erajaya Group berada di posisi teratas di dalam bidang usaha distribusi dan perdagangan ritel produk-produk telepon selular.,market leadership,market leadership,G,positive,outcome,0.8
178,"Di tengah kompetisi global, Indonesia memiliki peluang besar untuk tampil sebagai kekuatan digital para di Asia/Pasifik.",market opportunity,market opportunity,G,positive,outcome,0.88
135,Becoming a leading distribution company with integrated direct access to consumers and retailers that offer a complete range of mobile products and solutions.,market position,"Market Position, market position",G,positive,commitment,0.875
192,Erajaya Group berada di posisi teratas di dalam bidang usaha distribusi dan perdagangan ritel produk-produk telepon selular.,market position,Market Position,G,positive,outcome,0.9
533,"We engaged in multi-stakeholder collaborations, including the Responsible Business Alliance, the Responsible Minerals Initiative (appointed to the Steering Committee), the European Partnership for Responsible Minerals (the Advisory Committee of funding new pilot projects), the Responsible Sourcing Initiative (actively supporting the recycling space), Leadership Group for Responsible Recruitment, and Business for Social Responsibility (BSR) Human Rights Working Group (driving progress and elevating human rights best practices).",multi-stakeholder collaborations,Multi-stakeholder Collaborations,E-S-G,positive,action,0.9
131,"BRI strengthens its commitment to Indonesia’s Net Zero Emission (NZE) 2060 target by setting an earlier NZE goal for itself, aiming to achieve net zero emissions by 2050 in accordance with the Science-Based Target Initiative (SBTi) methodology.",net zero emission target,Net Zero Emission target,E-G,positive,commitment,0.95
130,"BRI strengthens its commitment to Indonesia's Net Zero Emission (NZE) 2060 target by setting an earlier NZE goal for itself, aiming to achieve net zero emissions by 2050 in accordance with the Science-Based Target Initiative (SBTi) methodology.",net zero emissions,net zero emissions,E-G,positive,commitment,0.95
394,"Selain mengimplementasikan Harum Energy Climate Strategy and Decarbonisation Roadmap yang ditargetkan untuk mencapai net zero emisi di tahun 2055, Perseroan juga terus mengoptimalkan diversifikasi produk dan layanan ke bijih nikel, sebagai sumber energi yang lebih ramah lingkungan.",net zero emissions target,"Net Zero Emissions Target, net zero emissions target",E-G,positive,action,0.91
328,Our goal is to achieve net-zero emissions by 2050.,net-zero emissions target,Net-Zero Emissions Target,E,positive,commitment,0.9
491,We aim to achieve net-zero emissions by 2050.,net-zero emissions target,Net-zero emissions target,E,positive,commitment,0.9
548,"We have now reached 100% renewable electricity in our U.S. operations, reflecting our continued progress toward a net-zero future.",net-zero future,net-zero future,E,positive,outcome,0.85
1,1015,none,none,none,none,none,0.5
2,103,none,none,none,none,none,0.5
9,127,none,none,none,none,none,0.5
10,1287,none,none,none,none,none,0.5
12,1431,none,none,none,none,none,0.5
15,1477,none,none,none,none,none,0.5
19,1729,none,none,none,none,none,0.5
21,1800,none,none,none,none,none,0.5
29,2109,none,none,none,none,none,0.5
30,214,none,none,none,none,none,0.5
31,2143,none,none,none,none,none,0.5
32,2146,none,none,none,none,none,0.5
33,223,none,none,none,none,none,0.5
40,2526,none,none,none,none,none,0.5
42,2690,none,none,none,none,none,0.5
44,2821,none,none,none,none,none,0.5
52,3216,none,none,none,none,none,0.5
55,3607,none,none,none,none,none,0.5
64,4007,none,none,none,none,none,0.5
70,420,none,none,none,none,none,0.5
72,4575,none,none,none,none,none,0.5
74,4661,none,none,none,none,none,0.5
75,4693,none,none,none,none,none,0.5
78,5044,none,none,none,none,none,0.5
81,536,none,none,none,none,none,0.5
82,540,none,none,none,none,none,0.5
84,563,none,none,none,none,none,0.5
89,67,none,none,none,none,none,0.5
93,81,none,none,none,none,none,0.5
96,85,none,none,none,none,none,0.5
99,962,none,none,none,none,none,0.5
102,99,none,none,none,none,none,0.5
4,1115,none,none,none,none,none,0.5
7,1201,none,none,none,none,none,0.5
8,121,none,none,none,none,none,0.5
13,1460,none,none,none,none,none,0.5
14,147,none,none,none,none,none,0.5
16,1530,none,none,none,none,none,0.5
17,1553,none,none,none,none,none,0.5
18,162,none,none,none,none,none,0.5
20,1798,none,none,none,none,none,0.5
22,1801,none,none,none,none,none,0.5
23,1927,none,none,none,none,none,0.5
27,2064,none,none,none,none,none,0.5
36,2365,none,none,none,none,none,0.5
37,2390,none,none,none,none,none,0.5
38,2435,none,none,none,none,none,0.5
39,2437,none,none,none,none,none,0.5
43,2770,none,none,none,none,none,0.5
45,2840,none,none,none,none,none,0.5
50,3110,none,none,none,none,none,0.5
51,3187,none,none,none,none,none,0.5
53,3273,none,none,none,none,none,0.5
54,3366,none,none,none,none,none,0.5
56,36376,none,none,none,none,none,0.5
59,3780,none,none,none,none,none,0.5
60,3784,none,none,none,none,none,0.5
63,3988,none,none,none,none,none,0.5
67,4073,none,none,none,none,none,0.5
77,4876,none,none,none,none,none,0.5
79,5048,none,none,none,none,none,0.5
80,5156,none,none,none,none,none,0.5
85,57,none,none,none,none,none,0.5
86,58,none,none,none,none,none,0.5
87,59,none,none,none,none,none,0.5
94,810,none,none,none,none,none,0.5
97,901,none,none,none,none,none,0.5
100,967,none,none,none,none,none,0.5
101,980,none,none,none,none,none,0.5
368,Produk Foods kami memiliki pencapaian Standar Nutrisi Tertinggi atau Highest Nutrition Standard (HNS) yang dihitung berdasarkan perbandingan standar Unilever dan pemenuhan standar World Health Organization (WHO),nutritional standards,Nutritional Standards,S,positive,outcome,0.9
128,BRI is also the first financial institution in Indonesia to have its near-term NZE target calculations approved by SBTi.,nze target approval,NZE target approval,E-G,positive,outcome,0.9
177,"Di tahun 2023, FKS Multi Agro berfokus pada peningkatan efisiensi operasional dan inovasi teknologi untuk memperkuat sinergi bisnis di dalam grup perusahaan.",operational efficiency,operational efficiency,G,positive,action,0.85
225,"In 2023, FKS Multi Agro committed to improving operational efficiency and technological innovation to strengthen business synergy within the group of companies.",operational efficiency,operational efficiency,G,positive,commitment,0.8
248,Income from Operations / Total Net Sales ▼ -27.87%,operational efficiency,Operational Efficiency,G,negative,outcome,0.8
152,"Dalam menghadapi volatilitas dan fluktuasi harga komoditas, Perusahaan memanfaatkan sinergi usaha guna mencapai efisiensi maksimal dan peningkatan keunggulan operasional.",operational excellence,operational excellence,G,positive,action,0.9
284,"Keberlangsungan usaha yang dijalankan Perseroan tidak hanya diharapkan mampu terlaksana secara kuat tetapi juga berkelanjutan, melalui pengelolaan operasional yang bertanggung jawab.",operational responsibility,Operational Responsibility,E-S-G,positive,commitment,0.8
213,Hal ini bertujuan membentuk daya tahan Perusahaan yang kuat atau strong organizational resilience.,organizational resilience,organizational resilience,G,positive,outcome,0.9
0,1,none,none,none,none,none,0.2
3,104,none,none,none,none,none,0.2
5,112,none,none,none,none,none,0.2
6,1155,none,none,none,none,none,0.2
11,129,none,none,none,none,none,0.2
24,1965,none,none,none,none,none,0.2
25,2036,none,none,none,none,none,0.2
26,2039,none,none,none,none,none,0.2
28,2086,none,none,none,none,none,0.2
34,23,none,none,none,none,none,0.2
35,2334,none,none,none,none,none,0.2
41,26,none,none,none,none,none,0.2
46,292,none,none,none,none,none,0.2
47,2982,none,none,none,none,none,0.2
48,3022,none,none,none,none,none,0.2
49,307,none,none,none,none,none,0.2
57,3680,none,none,none,none,none,0.2
58,3774,none,none,none,none,none,0.2
61,3934,none,none,none,none,none,0.2
62,3976,none,none,none,none,none,0.2
65,4036,none,none,none,none,none,0.2
66,4069,none,none,none,none,none,0.2
68,4136,none,none,none,none,none,0.2
69,4183,none,none,none,none,none,0.2
71,4527,none,none,none,none,none,0.2
73,4603,none,none,none,none,none,0.2
76,4849,none,none,none,none,none,0.2
83,55,none,none,none,none,none,0.2
88,608,none,none,none,none,none,0.2
90,677,none,none,none,none,none,0.2
91,692,none,none,none,none,none,0.2
92,742,none,none,none,none,none,0.2
95,832,none,none,none,none,none,0.2
98,94,none,none,none,none,none,0.2
198,Erajaya entered into agreement of forming joint venture with PT Indosat Ooredoo.,partnerships and collaborations,"Partnerships, partnerships and collaborations",G,neutral,outcome,0.75
194,"Erajaya Group has also formed a joint venture with Alphabright Distribution Pte. Ltd. Singapore, named Era International Network Pte. Ltd., which the Company has a 70% stake in the formation of the company.",partnerships and collaborations,"Ownership, Partnerships, partnerships and collaborations",G,neutral,outcome,0.7166666667
190,Erajaya Group also works closely with leading mobile network operators in Indonesia to distribute their products.,partnerships and collaborations,Partnerships,G,neutral,action,0.8
221,"In 2015, PT Erafone Artha Retailindo (""Erafone""), a subsidiary of Erajaya, along with Amtrust Mobile Solutions Singapore Pte. Ltd. formed a joint venture named PT AmTrust Mobile Solutions Indonesia.",partnerships and collaborations,Partnerships,G,neutral,outcome,0.8
411,"The Company also formed a joint venture under the name of Era International Network Sdn. Bhd., where the Company's ownership reached 95% of total shares.",partnerships and collaborations,"Ownership, Partnerships",G,neutral,outcome,0.75
354,"Performance of our chief enterprise operations officer, chief sustainability officer, and senior vice president of Global Product Compliance &amp; Sustainable Impact (GPC &amp; SI) is also evaluated in part based on the management of Sustainable Impact and the achievement of related targets and metrics.",performance evaluation,Performance Evaluation,G,neutral,outcome,0.85
346,Pengurangan penggunaan plastik baru (virgin plastic) dalam kemasan produk Unilever,plastic reduction,Plastic Reduction,E,positive,action,0.85
375,"Sampah plastik yang dikumpulkan pada tahun 2024, lebih banyak daripada yang kami gunakan dalam kemasan produk",plastic waste collection,Plastic Waste Collection,E,positive,outcome,0.9
485,Upaya Mengakhiri Limbah Plastik,plastic waste reduction,plastic waste reduction,E,positive,commitment,0.75
455,"Through effective, measurable, and well-directed sustainability strategy implementation, we believe Unilever Indonesia can navigate headwinds - laying the groundwork for long-term sustainable growth, and continue to positively impact the environment and society.",positive impact on environment and society,positive impact on environment and society,E-S-G,positive,action,0.88
