,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count,,,,,,
381,"At the end of 2011, Erajaya Group conducted an IPO, selling 31.7% of its shares. With the stock code ERAA, Erajaya Group officially listed on the Indonesia Stock Exchange.",initial public offering,none,neutral,outcome,1,,,,,,
382,"At the end of 2014, AndroidNation continues to grow, and reached 6 outlets in Jakarta, Tangerang, Semarang and Surabaya.",retail concept growth,none,positive,outcome,1,,,,,,
383,"At the end of 2014, the Group relaunching Erajaya www.erafone.com website.",digital platform enhancement,none,positive,outcome,2,,,,,,
384,"At the end of 2014, the Group relaunching Erajaya www.erafone.com website.",e-commerce,none,positive,outcome,1,,,,,,
385,"At the same time, the Company also encourages the implementation of ESG (Environment, Social, and Governance) principles so that we can build competitive advantages that will support the achievement of quality business growth.",esg implementation,e-s-g,positive,commitment,1,,,,,,
386,"At the same time, the pace of global poverty reduction has slowed down and around 700 million people continue to live below the extreme poverty line.",poverty reduction,s,negative,outcome,1,,,,,,
387,"At the same time, the pace of global poverty reduction has slowed down and around 700 million people continue to live below the extreme poverty line.",social impact,s,negative,outcome,1,,,,,,
389,"Atas dasar ini, pada tahun 2021 kami meluncurkan obligasi berbasis keberlanjutan yang memiliki nilai sebesar 350 juta dolar AS dengan tingkat bunga sebesar 5,375% yang akan jatuh tempo pada tahun 2026.",sustainability-linked bond issuance,e-s-g,positive,outcome,1,,,,,,
390,"Atas upaya ini, di tahun 2021, platform OTT Vidio kami sudah memiliki rata-rata 62 juta pengguna aktif bulanan dan telah mencapai 2 juta pelanggan berbayar.",platform growth,none,positive,outcome,1,,,,,,
391,"Atas upaya ini, hingga akhir tahun 2021, Perseroan tidak menerima pengaduan mengenai pelanggaran privasi pelanggan, baik terkait kebocoran, pencurian, atau kehilangan data.",customer privacy,g,positive,outcome,2,,,,,,
392,"Audience satisfaction survey reached 3,195 people in 2020, up from 1,608 in 2019.",audience satisfaction,s,positive,outcome,1,,,,,,
393,Authorized Dealer Reward 2014 - 1st Broadband Penetration Region Sumatra Bagian Selatan dari Telkomsel.,awards,none,positive,outcome,1,,,,,,
394,Authorized Dealer Reward 2014 - 1stOutlet Productivity Region Sumatra Bagian Selatan dari Telkomsel.,awards,none,positive,outcome,1,,,,,,
395,Authorized Dealer Reward 2014 - 3rdBest Area Performance Area Sumatra dari Telkomsel.,awards,none,positive,outcome,1,,,,,,
396,Authorized Dealer Reward 2014 – 1st Broadband Penetration Region Sumatra Bagian Selatan dari Telkomsel.,corporate reputation,none,positive,outcome,1,,,,,,
397,Authorized Dealer Reward 2014 – 1stOutlet Productivity Region Sumatra Bagian Selatan dari Telkomsel.,corporate reputation,none,positive,outcome,1,,,,,,
398,Authorized Dealer Reward 2014 – 3rdBest Area Performance Area Sumatra dari Telkomsel.,corporate reputation,none,positive,outcome,1,,,,,,
399,Average Training Duration (hour/employee).,employee training,s,neutral,outcome,1,,,,,,
400,Average Training Hours per Employee,employee development,s,neutral,outcome,1,,,,,,
401,Average Training Time Per Employee increased to 25.3 hours (2022) from 19.8 hours (2021),employee development,s,positive,outcome,1,,,,,,
402,Average training duration per employee increased from 10.9 hours (2020) to 12.3 hours (2021).,employee development,s,positive,outcome,1,,,,,,
403,"Average training duration per employee increased, with 52,446 participants in MAP Retail Academy trainings in 2021.",employee training participation,s,positive,outcome,1,,,,,,
404,Average training hours per employee of 18 hours/employee.,employee training,s,neutral,outcome,1,,,,,,
405,Average training hours per employee reached 18.3 hours in 2023.,employee training,s,positive,outcome,1,,,,,,
406,Award on Best Category for toll road length 15-50 kilometers for Pandaan-Malang toll road section of PT Jasamarga Pandanaan Malang – 1st place,sustainable toll road recognition,e,positive,outcome,1,,,,,,
407,Award on Best Category for toll road length <15 kilometers – Gempol-Pandanaan toll road section of PT Jasamarga Pandaan Toll – 3rd place,sustainable toll road recognition,e,positive,outcome,1,,,,,,
408,Award on Best Category for toll road with length >50 kilometers for Jagorawi Toll Road - 1st place,sustainable toll road recognition,e,positive,outcome,1,,,,,,
409,Award on Best Category for toll road with length >50 kilometers for Ngawi-Kertosono toll road section of PT Jasamarga Ngawi Kertosono Kediri – 2nd place,sustainable toll road recognition,e,positive,outcome,1,,,,,,
410,Awards,awards,none,neutral,none,1,,,,,,
411,Awards 2013 - The Top 50 Companies for 2013 from Forbes.,awards,none,positive,outcome,1,,,,,,
412,Awards 2013 – The Top 50 Companies for 2013 from Forbes,corporate reputation,none,positive,outcome,1,,,,,,
413,"Awareness on sustainability grew continuously, thus the retail industry must also start to manage its environmental, social, and governance (ESG) aspects to improve sustainability performance.",esg aspects,e-s-g,positive,commitment,1,,,,,,
414,"Axioo International Indonesia will be used to assemble Venera, mobile phone brands owned by Erajaya.",manufacturing,none,neutral,action,1,,,,,,
415,"Ayah saya membangun perusahaan ini lebih dari 45 tahun yang lalu dengan keyakinan bahwa kami hanya dapat berkembang jika kami tumbuh bersama dengan seluruh pemangku kepentingan, yaitu karyawan, mitra bisnis, pemegang saham, petani dan peternak, serta pemasok.",stakeholder collaboration,s,positive,commitment,1,,,,,,
416,BANK SAMPAH DI KOTA BESAR,urban waste management,e,neutral,action,1,,,,,,
417,BEI juga membutuhkan sinergi dengan PT Kliring Penjaminan Efek Indonesia (KPEI) dan PT Kustodian Sentral Efek Indonesia (KSEI) untuk mendukung terlaksananya penerapan keuangan berkelanjutan.,sustainable finance implementation,e-s-g,positive,action,1,,,,,,
418,BEI telah melaksanakan inisiatif untuk mewujudkan serangkaian inisiatif keuangan berkelanjutan dan hal ini dikuatkan dengan bergabungnya BEI menjadi bagian dari inisiatif United Nations Sustainable Stock Exchange.,sustainable finance initiatives,e-s-g,positive,outcome,1,,,,,,
419,BEI telah menetapkan serangkaian inisiatif untuk mewujudkan keuangan berkelanjutan yang setiap tahunnya dituangkan dalam sebuah Rencana Aksi Keuangan Berkelanjutan (RAKB).,sustainable finance action plan,e-s-g,positive,action,2,,,,,,
420,BIAYA LINGKUNGAN TAHUN 2021 Environmental Costs in 2021,environmental costs,e,neutral,outcome,1,,,,,,
421,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677",environmental cost,e,neutral,outcome,3,,,,,,
422,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677",environmental costs,e,neutral,outcome,1,,,,,,
423,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677",environmental expenditure,e,neutral,outcome,1,,,,,,
424,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677 KONSUMSI ENERGI 12,236 ENERGY CONSUMPTION 01GAJGULE PENGGUNAAN AIR 3,3 WATER USAGE 3,3 JUTA LITER MILLION LITER",environmental management,e,neutral,outcome,1,,,,,,
425,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677 | KONSUMSI ENERGI 12,236 GJ | PENGGUNAAN AIR 3,3 JUTA LITER",environmental management,e,neutral,outcome,1,,,,,,
426,BNI also has the five pillars of sustainability to manifest the commitment in implementing sustainability practices.,sustainability strategy,e-s-g,positive,commitment,2,,,,,,
427,"BNI always seeks ways to create a safe, comfortable, inclusive, and fair workplace for all employees.",workplace environment,s,positive,commitment,1,,,,,,
428,"BNI believes that engaging stakeholders, both national and global, can create shared values in the long term.",community engagement,s,positive,action,3,,,,,,
429,"BNI considers the sustainability concept as a significant aspect inherent in the operational banking business, in which the sustainability values are incorporated into company strategies by taking the environmental, social, and governance (ESG) as well as economic aspects into account.",esg integration,e-s-g,positive,action,1,,,,,,
430,BNI consistently engages and synergizes with all stakeholders to collectively respond to every challenge and create a sustainable future together.,community engagement,s,positive,action,3,,,,,,
431,"BNI firmly supports environmental preservation by implementing programs to conserve Javan rhinoceros (Rhinoceros sondaicus) and Orangutans (Pongo pymgaeus), and planting 88,023 trees.",biodiversity conservation,e,positive,outcome,1,,,,,,
432,"BNI guarantees equal rights with no discrimination for all employees who desire to develop their careers and competencies, including their insights on sustainable finance.",equal opportunity,s,positive,commitment,1,,,,,,
433,"BNI has implemented the strategy of integrating environmental, social, and governance (ESG) aspects to support stakeholders and the environment in achieving the commitment to sustainability.",esg integration,e-s-g,positive,outcome,3,,,,,,
434,"BNI has performed CRST to several sectors in the Corporate, Enterprise, and Commercial segment, among which are coal mining (including power plant), oil palm plantation, and pulp &amp; paper.",climate risk stress test,e,neutral,outcome,1,,,,,,
435,BNI has the five pillars of sustainability to manifest the commitment in implementing sustainability practices.,sustainability pillars,e-s-g,positive,commitment,1,,,,,,
436,BNI is committed to performing a dedicated role as a transformation agent in implementing ESG principles.,esg leadership,e-s-g,positive,commitment,1,,,,,,
437,"BNI is determined to continue making progress and new breakthroughs to allow it to compete and realize its vision to be the leading sustainable financial institution, both in service and performance.",sustainability vision,e-s-g,positive,commitment,1,,,,,,
438,BNI is resolute in its commitment to increasing the sustainability performance as it can create shared values for all stakeholders.,sustainability commitment,e-s-g,positive,commitment,2,,,,,,
439,"BNI obtained a Green Building certification for two BNI buildings, ""Gold"" Certification for Menara BNI and ""Platinum"" Certification for Plaza BNI.",green building,e,positive,outcome,2,,,,,,
440,"BNI obtained a Green Building certification for two BNI buildings, ""Gold"" Certification for Menara BNI and ""Platinum"" Certification for Plaza BNI.",green buildings,e,positive,outcome,1,,,,,,
441,BNI strengthened the ESG aspects in the Risk Acceptance Criteria (RAC) in 18 debtors' sectors.,esg risk management,e-s-g,positive,outcome,1,,,,,,
442,BNI was able to maintain its MSCI Rating at Rating A.,esg rating,e-s-g,positive,outcome,2,,,,,,
443,BNI was recorded as having medium risk with a score of 21.4 according to Sustainalytics' ESG Risk Rating.,esg risk assessment,e-s-g,neutral,outcome,1,,,,,,
444,BNI's commitment to reducing GHG was also substantiated by the roadmaps of 2028 NZE Operational and 2060 NZE Financing targets.,ghg emission reduction,e,positive,commitment,1,,,,,,
454,BRMS berkomitmen untuk berperan serta dalam gerakan global ini dengan cara berkontribusi demi mencapai realisasi tujuan pembangunan berkelanjutan tersebut,commitment to sustainable development,e-s-g,positive,commitment,1,,,,,,
455,BRMS berkomitmen untuk berperan serta dalam gerakan global ini dengan cara berkontribusi demi mencapai realisasi tujuan pembangunan berkelanjutan tersebut.,sustainable development commitment,e-s-g,positive,commitment,1,,,,,,
456,BRMS consistently partners up with other organizations and institutions that have the same goals.,partnership,e-s-g,positive,action,1,,,,,,
457,BRMS consistently partners up with other organizations and institutions that have the same goals.,sustainability partnerships,e-s-g,positive,action,1,,,,,,
458,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,alignment with sustainable development goals,e-s-g,positive,commitment,2,,,,,,
459,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,sdg alignment,e-s-g,positive,commitment,1,,,,,,
460,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,sdg alignment strategy,e-s-g,positive,commitment,1,,,,,,
461,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,sdgs alignment,e-s-g,positive,commitment,1,,,,,,
462,"BRMS dengan sepenuh hati mendukung pembangunan berkelanjutan, dengan berusaha menggapai masa depan pertambangan emas melalui praktik yang bertanggung jawab.",sustainable development,e-s-g,positive,commitment,1,,,,,,
463,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sdg reporting,e-s-g,positive,action,1,,,,,,
464,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sdg-aligned strategies and initiatives,e-s-g,positive,action,1,,,,,,
465,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sdgs strategy and reporting,e-s-g,positive,action,1,,,,,,
466,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sustainability strategy development,e-s-g,positive,action,1,,,,,,
467,BRMS is aware that no company is able to achieve these set of goals alone.,collaboration,e-s-g,neutral,commitment,2,,,,,,
468,BRMS is aware that no company is able to achieve these set of goals alone.,partnerships for sdgs,e-s-g,positive,commitment,1,,,,,,
469,"BRMS is aware that no company is able to achieve these set of goals alone. Therefore, BRMS consistently partners up with other organizations and institutions that have the same goals.",partnerships for sdgs,e-s-g,positive,commitment,1,,,,,,
470,"BRMS is aware that no company is able to achieve these set of goals alone. Therefore, BRMS consistently partners up with other organizations and institutions that have the same goals.",partnerships for sustainable development,e-s-g,positive,commitment,1,,,,,,
471,BRMS menetapkan Kebijakan Keberlanjutan 1.0 sebagai langkah penting dalam mengintegrasikan praktik berkelanjutan ke dalam operasi perusahaan.,sustainability policy,e-s-g,positive,outcome,1,,,,,,
472,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs",sdgs strategy,e-s-g,positive,action,1,,,,,,
473,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik",sdgs strategy and reporting,e-s-g,positive,action,1,,,,,,
474,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sdg-aligned strategies and initiatives,e-s-g,positive,action,1,,,,,,
475,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sdgs strategy,e-s-g,positive,action,1,,,,,,
476,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sdgs strategy and reporting,e-s-g,positive,action,2,,,,,,
477,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sustainability strategy,e-s-g,positive,action,1,,,,,,
478,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sustainability strategy development,e-s-g,positive,action,1,,,,,,
479,"BRMS menyadari bahwa tidak ada satu perusahaan pun yang dapat mencapai tujuan ini sendirian dan oleh karena itu, BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.",partners up with other organizations and institutions that have the same goals,e-s-g,positive,action,1,,,,,,
480,"BRMS menyadari bahwa tidak ada satu perusahaan pun yang dapat mencapai tujuan ini sendirian dan oleh karena itu, BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.",partnerships for sdgs,e-s-g,positive,commitment,3,,,,,,
481,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama,partnership and collaboration,e-s-g,positive,action,1,,,,,,
482,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.,partnership and collaboration,e-s-g,positive,action,1,,,,,,
483,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.,partnerships and collaborations,e-s-g,positive,action,1,,,,,,
484,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.,sustainability partnerships,e-s-g,positive,action,1,,,,,,
485,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan,sdg integration,e-s-g,positive,commitment,1,,,,,,
486,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan,sdgs alignment,e-s-g,positive,commitment,1,,,,,,
487,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,alignment of corporate strategy with sdgs,e-s-g,positive,commitment,1,,,,,,
488,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,alignment with sustainable development goals,e-s-g,positive,commitment,3,,,,,,
489,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,sdg alignment,e-s-g,positive,commitment,1,,,,,,
490,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,sdgs alignment,e-s-g,positive,commitment,2,,,,,,
491,BRMS set higher sustainability standards by integrating ESG in all our activities.,esg integration,e-s-g,positive,outcome,1,,,,,,
492,"BRMS set higher sustainability standards on economic, environmental, social and governance aspects by integrating ESG in all our activities.",esg integration,e-s-g,positive,outcome,1,,,,,,
493,"BRMS set higher sustainability standards on economic, environmental, social and governance aspects by integrating ESG in all our activities.",integration of esg in activities,e-s-g,positive,outcome,1,,,,,,
494,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan",esg integration,e-s-g,positive,outcome,1,,,,,,
495,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan.",esg integration,e-s-g,positive,outcome,3,,,,,,
496,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan.",integration of esg in activities,e-s-g,positive,outcome,1,,,,,,
497,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan...",esg integration,e-s-g,positive,outcome,1,,,,,,
498,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",pengembangan berkelanjutan,e-s-g,positive,commitment,1,,,,,,
499,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",responsible mining practices,e,positive,commitment,1,,,,,,
500,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",sustainable development,e-s-g,positive,commitment,2,,,,,,
501,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",sustainable development support,e-s-g,positive,commitment,2,,,,,,
502,BUILDING A CULTURE OF SUSTAINABILITY WITHIN THE COMPANY.,internal sustainability culture,e-s-g,positive,commitment,1,,,,,,
503,"Badan Pusat Statistik (BPS) melaporkan berbagai indikator pertumbuhan ekonomi triwulan IV-2018 menunjukkan permintaan domestik tetap kuat ditopang oleh konsumsi, baik konsumsi swasta maupun konsumsi Pemerintah.",domestic demand,none,positive,outcome,5,,,,,,
504,"Badan Pusat Statistik (BPS) melaporkan berbagai indikator pertumbuhan ekonomi triwulan IV-2018 menunjukkan permintaan domestik tetap kuat ditopang oleh konsumsi, baik konsumsi swasta maupun konsumsi Pemerintah.",pertumbuhan ekonomi,none,positive,outcome,1,,,,,,
505,"Bagi tim yang harus tetap bekerja di kantor, studio, maupun fasilitas teknik, kami mengadopsi protokol kesehatan yang ketat.",adopsi protokol kesehatan ketat,s,positive,action,1,,,,,,
506,"Bagi tim yang harus tetap bekerja di kantor, studio, maupun fasilitas teknik, kami mengadopsi protokol kesehatan yang ketat.",health and safety protocols,s,positive,action,2,,,,,,
507,"Bagi tim yang harus tetap bekerja di kantor, studio, maupun fasilitas teknik, kami mengadopsi protokol kesehatan yang ketat.",occupational health and safety,s,positive,action,1,,,,,,
508,Bank Mandiri aims to be a 'sustainability champion' by leading ESG initiatives through digital transformation,sustainability leadership,e-s-g,positive,commitment,1,,,,,,
509,Bank Mandiri aims to be a 'sustainability champion' by leading ESG initiatives through digital transformation and other means.,esg leadership,e-s-g,positive,commitment,1,,,,,,
510,Bank Mandiri aims to be a 'sustainability champion' by leading ESG initiatives through digital transformation and other means.,sustainability leadership,e-s-g,positive,commitment,1,,,,,,
511,"Bank Mandiri berada di garis depan transformasi keberlanjutan, mengusung visi ""Becoming Indonesia’s Sustainability Champion for a Better Future"" dengan komitmen untuk menciptakan dampak nyata dan positif bagi masyarakat, lingkungan, dan ekonomi.",keberlanjutan,e-s-g,positive,commitment,2,,,,,,
512,"Bank Mandiri berada di garis depan transformasi keberlanjutan, mengusung visi “Becoming Indonesia’s Sustainability Champion for a Better Future” dengan komitmen untuk menciptakan dampak nyata dan positif bagi masyarakat, lingkungan, dan ekonomi.",sustainability vision,e-s-g,positive,commitment,4,,,,,,
513,"Bank Mandiri berada di garis depan transformasi keberlanjutan, mengusung visi “Becoming Indonesia’s Sustainability Champion for a Better Future” dengan komitmen untuk menciptakan dampak nyata dan positif bagi masyarakat, lingkungan, dan ekonomi.",vision and commitment to sustainability,e-s-g,positive,commitment,1,,,,,,
514,"Bank Mandiri berkomitmen untuk mendorong pertumbuhan ekonomi yang inklusif dan berkelanjutan, serta memberikan kontribusi positif bagi lingkungan dan perekonomian.",pertumbuhan ekonomi,none,positive,commitment,1,,,,,,
515,Bank Mandiri berperan aktif dalam mewujudkan ekonomi rendah karbon dan memberikan kontribusi positif bagi lingkungan dan perekonomian.,low carbon economy,e,positive,commitment,1,,,,,,
516,"Bank Mandiri berperan penting dalam mendorong transisi ekonomi hijau, yang merupakan langkah krusial untuk menciptakan masa depan yang lebih berkelanjutan, mengurangi dampak lingkungan, dan menciptakan peluang ekonomi baru dalam sektor-sektor yang berfokus pada teknologi dan praktik berkelanjutan.",ekonomi hijau,e,positive,commitment,1,,,,,,
517,"Bank Mandiri berperan penting dalam mendorong transisi ekonomi hijau, yang merupakan langkah krusial untuk menciptakan masa depan yang lebih berkelanjutan, mengurangi dampak lingkungan, dan menciptakan peluang ekonomi baru dalam sektor-sektor yang berfokus pada teknologi dan praktik berkelanjutan.",transisi ekonomi hijau,e,positive,commitment,3,,,,,,
518,"Bank Mandiri berperan penting dalam mendorong transisi ekonomi hijau, yang merupakan langkah krusial untuk menciptakan masa depan yang lebih berkelanjutan, mengurangi dampak lingkungan, dan menciptakan peluang ekonomi baru dalam sektor-sektor yang berfokus pada teknologi dan praktik berkelanjutan.",transition to a green economy,e,positive,commitment,1,,,,,,
519,"Bank Mandiri bertekad untuk menjadi pelopor dalam transformasi menuju masa depan yang lebih hijau, inklusif, dan berkelanjutan.",sustainability leadership,e-s-g,positive,commitment,1,,,,,,
520,"Bank Mandiri berupaya menjadi ""sustainability champion"", untuk menjadi yang terdepan dalam inisiatif ESG, melalui transformasi digital dan upaya-upaya lainnya.",sustainability leadership,e-s-g,positive,commitment,2,,,,,,
521,"Bank Mandiri berupaya menjadi 'sustainability champion', untuk menjadi yang terdepan dalam inisiatif ESG, melalui transformasi digital dan upaya-upaya lainnya.",sustainability leadership,e-s-g,positive,commitment,2,,,,,,
522,Bank Mandiri berusaha untuk memastikan bahwa setiap langkah yang mereka ambil selaras dengan upaya global dalam menangani perubahan iklim dan mendukung pertumbuhan ekonomi yang berkelanjutan.,climate action,e,positive,commitment,1,,,,,,
523,Bank Mandiri berusaha untuk memastikan bahwa setiap langkah yang mereka ambil selaras dengan upaya global dalam menangani perubahan iklim dan mendukung pertumbuhan ekonomi yang berkelanjutan.,climate change alignment,e,positive,commitment,1,,,,,,
524,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit,e-s-g,positive,outcome,1,,,,,,
525,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit and financing desk,e-s-g,positive,outcome,1,,,,,,
526,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit dan esg financing desk,e-s-g,positive,outcome,1,,,,,,
527,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",establishment of esg unit and financing desk,e-s-g,positive,outcome,1,,,,,,
528,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",pembentukan unit esg,e-s-g,positive,outcome,1,,,,,,
529,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit and financing desk,e-s-g,positive,outcome,1,,,,,,
530,"Bank Mandiri juga terlibat dalam perdagangan karbon dan merupakan bank pertama di Indonesia yang telah meluncurkan digital carbon tracking, dengan target NZE secara operasional di tahun 2030.",carbon trading and digital carbon tracking,e,positive,outcome,1,,,,,,
531,"Bank Mandiri juga terus melakukan pengembangan produk berkelanjutan sebagai upaya mendukung nasabah khususnya pada high carbon intensive sectors, melalui solusi keuangan seperti Green Loan, Sustainability-Linked Loan, serta Corporate in Transition Financing.",development of sustainable products to support customers in high carbon intensive sectors,e-s-g,positive,action,1,,,,,,
532,"Bank Mandiri juga terus melakukan pengembangan produk berkelanjutan sebagai upaya mendukung nasabah khususnya pada high carbon intensive sectors, melalui solusi keuangan seperti Green Loan, Sustainability-Linked Loan, serta Corporate in Transition Financing.",pengembangan produk berkelanjutan,e-s-g,positive,action,1,,,,,,
533,Bank Mandiri melakukan penerbitan Penawaran Umum Berkelanjutan (PUB) Obligasi Berwawasan Lingkungan Berkelanjutan atau Green Bond dengan target Rp10 triliun.,green bonds,e,positive,outcome,1,,,,,,
534,Bank Mandiri melakukan penerbitan Penawaran Umum Berkelanjutan (PUB) Obligasi Berwawasan Lingkungan Berkelanjutan atau Green Bond dengan target Rp10 triliun. Dana yang diperoleh akan digunakan untuk membiayai atau membiayai kembali kegiatan-kegiatan yang termasuk dalam kategori Kegiatan Usaha Berwawasan Lingkungan (KUBL).,green bond issuance for sustainable projects,e,positive,outcome,1,,,,,,
535,Bank Mandiri membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif.,esg governance structure,e-s-g,positive,outcome,1,,,,,,
536,Bank Mandiri memiliki empat gedung ramah lingkungan dan satu gedung tersertifikasi Green Building.,green infrastructure,e,positive,outcome,1,,,,,,
537,Bank Mandiri menargetkan NZE secara operasional di tahun 2030.,net zero emissions,e,positive,commitment,1,,,,,,
538,"Bank Mandiri mendapatkan predikat sebagai salah satu top performers pada Corporate governance & Perception Index (CGPI) dengan skor 95,30.",recognition in corporate governance index,g,positive,outcome,1,,,,,,
539,"Bank Mandiri menegaskan komitmennya untuk terus mengedepankan prinsip ESG, baik mulai dari kebijakan, strategi, hingga operasional sehari-hari.",esg principles,e-s-g,positive,commitment,1,,,,,,
540,Bank Mandiri menetapkan target ambisius untuk mencapai netral karbon dalam operasional pada tahun 2030.,carbon neutrality commitment,e,positive,commitment,2,,,,,,
